"","NGO","StartDate","EndDate","USD","Title","Details","Report","Fund","Continent","Country","SpeciesClass","isCWA","phase","More","euroContribution","euroTotal","URL","ID","Ref","Pounds","CentralWestAfrica"
"637",NA,"1993-11-01 - ",NA,NA,NA,"Conservation of Coral Reef Fish Biodiversity University of York",NA,NA,NA,NA,NA,"FALSE",NA,"",NA,NA,"http://www.darwininitiative.org.uk/project/3018/","108","3018","112,158.00",FALSE
"638",NA,"1993-11-01 - ",NA,NA,NA,"Fish and Aquatic Ecosystems in the Rwenzori Mountains King's College London",NA,NA,NA,NA,NA,"FALSE",NA,"",NA,NA,"http://www.darwininitiative.org.uk/project/3026/","109","3026","42,423.00",FALSE
"639",NA,"1993-11-01 - ",NA,NA,NA,"Ethnobotany and the Sustainable Use of Plant Resources WWF - UK",NA,NA,NA,NA,NA,"FALSE",NA,"",NA,NA,"http://www.darwininitiative.org.uk/project/3047/","110","3047","368,500.00",FALSE
"640",NA,"1993-11-01 - ",NA,NA,NA,"Ghanaian Rheophytes Project University of Aberdeen - Plant and Soil Sciences",NA,NA,NA,NA,NA,"TRUE",NA,"


Ghanaian Rheophytes Project
Ref:  3056Type:  Main ProjectProject Leader:  Dr Mike  SwaineLead Institution:  University of Aberdeen - Plant and Soil SciencesHost Country Institutions:  Start Date:  1993-11-01End Date:  Funding:  &pound58,662.00Website:  Status:  Completed_noFRRegions:  Sub-Saharan AfricaCountries:  GhanaPurpose:  A study to quantify the differences between protected and unprotected headwaters in terms of rheophyte biodiversityOutputs:  Related Projects:  Ghanaian Rheophytes Project",NA,NA,"http://www.darwininitiative.org.uk/project/3056/","111","3056","58,662.00",TRUE
"641",NA,"1993-11-01 - ",NA,NA,NA,"Tree Regeneration, Vegetation Dynamics and the Maintenance of Biodiversity on Mount Cameroon: The Relative Impact of Natural and Human Disturbance University of Wales, Bangor",NA,NA,NA,NA,NA,"TRUE",NA,"


Tree Regeneration, Vegetation Dynamics and the Maintenance of Biodiversity on Mount Cameroon: The Relative Impact of Natural and Human Disturbance
Ref:  3063Type:  Main ProjectProject Leader:  Dr John  HealeyLead Institution:  University of Wales, BangorHost Country Institutions:  Start Date:  1993-11-01End Date:  Funding:  &pound137,682.00Website:  Status:  Completed_noFRRegions:  Sub-Saharan AfricaCountries:  CameroonPurpose:  To investigate the natural vegetation dynamics and regeneration mechanisms of individual tree species and compare with the natural regeneration which occurs following disturbance caused by local use of the forestOutputs:  Related Projects:  The Effect of an Invasive Tree Species on Biodiversity in Primary Montane Rainforests in Jamaica",NA,NA,"http://www.darwininitiative.org.uk/project/3063/","112","3063","137,682.00",TRUE
"642",NA,"1993-11-01 - ",NA,NA,NA,"Computers in Terrestrial Ecology, Sango Bay, Uganda CEH - Centre for Ecology and Hydrology, Wallingford",NA,NA,NA,NA,NA,"FALSE",NA,"",NA,NA,"http://www.darwininitiative.org.uk/project/3095/","113","3095","139,421.00",FALSE
"643",NA,"1993-11-01 - ",NA,NA,NA,"Genetic Resource Conservation of Onions in West Africa Natural Resources Institute - Horticulture",NA,NA,NA,NA,NA,"TRUE",NA,"


Genetic Resource Conservation of Onions in West Africa
Ref:  3108Type:  Main ProjectProject Leader:  Dr John  OrchardLead Institution:  Natural Resources Institute - HorticultureHost Country Institutions:  Start Date:  1993-11-01End Date:  Funding:  &pound142,582.00Website:  Status:  Completed_noFRRegions:  Sub-Saharan AfricaCountries:  Burkina Faso, Cote d'Ivoire, SenegalPurpose:  A project to encourage the production of seed of traditional landraces selected by farmers in the Sahel.Outputs:  ",NA,NA,"http://www.darwininitiative.org.uk/project/3108/","114","3108","142,582.00",TRUE
"644",NA,"1994-04-01 - 1997-03-31",NA,NA,NA,"Ugandan Forest Reserves University of Sheffield",NA,NA,NA,NA,NA,"FALSE",NA,"",NA,NA,"http://www.darwininitiative.org.uk/project/3142/","115","3142","48,300.00",FALSE
"645",NA,"1994-04-01 - ",NA,NA,NA,"Training of Conservation Lawyers FIELD - Foundation for International Environmental Law and Development",NA,NA,NA,NA,NA,"TRUE",NA,"


Training of Conservation Lawyers
Ref:  3154Type:  Main ProjectProject Leader:  Mr   SandsLead Institution:  FIELD - Foundation for International Environmental Law and DevelopmentHost Country Institutions:  Start Date:  1994-04-01End Date:  Funding:  &pound154,084.00Website:  http://www.field.org.uk
Status:  Completed_noFRRegions:  Central America, South America, South Asia, Sub-Saharan AfricaCountries:  Colombia, India, Mexico, NigeriaPurpose:  To combine training of lawyers with practical legal assistance on critical issues relating to the convention.Outputs:  ",NA,NA,"http://www.darwininitiative.org.uk/project/3154/","116","3154","154,084.00",TRUE
"646",NA,"1993-11-01 - ",NA,NA,NA,"Darwin African Research Fellowship TBA Tropical Biology Association",NA,NA,NA,NA,NA,"FALSE",NA,"",NA,NA,"http://www.darwininitiative.org.uk/project/3169/","117","3169","34,700.00",FALSE
"647",NA,"1994-04-01 - ",NA,NA,NA,"Domestication of Fruit Trees and Other Non-Timber Economic Species CEH - Centre for Ecology and Hydrology, Edinburgh",NA,NA,NA,NA,NA,"TRUE",NA,"


Domestication of Fruit Trees and Other Non-Timber Economic Species
Ref:  3170Type:  Main ProjectProject Leader:  Dr Julia  WilsonLead Institution:  CEH - Centre for Ecology and Hydrology, EdinburghHost Country Institutions:  Start Date:  1994-04-01End Date:  Funding:  &pound131,742.00Website:  Status:  Completed_noFRRegions:  Sub-Saharan AfricaCountries:  CameroonPurpose:  To identify native fruit trees used by local communities and train technicians and villagers in propagation techniquesOutputs:  ",NA,NA,"http://www.darwininitiative.org.uk/project/3170/","118","3170","131,742.00",TRUE
"648",NA,"1994-04-01 - ",NA,NA,NA,"Mauritius Fern Project RBGE - Royal Botanic Garden, Edinburgh",NA,NA,NA,NA,NA,"FALSE",NA,"",NA,NA,"http://www.darwininitiative.org.uk/project/3199/","119","3199","50,271.00",FALSE
"649",NA,"1994-04-01 - ",NA,NA,NA,"Terrestrial Invertebrate Diversity of the Mkomazi Game Reserve Natural Resources Institute",NA,NA,NA,NA,NA,"FALSE",NA,"",NA,NA,"http://www.darwininitiative.org.uk/project/3248/","120","3248","119,030.00",FALSE
"650",NA,"1995-04-01 - ",NA,NA,NA,"Community In-Situ Conservation in Zimbabwe Overseas Development Institute - ODI",NA,NA,NA,NA,NA,"FALSE",NA,"",NA,NA,"http://www.darwininitiative.org.uk/project/4101/","121","4101","88,993.00",FALSE
"651",NA,"1995-04-01 - 1998-12-31",NA,NA,NA,"Biodiversity Management Training ",NA,NA,NA,NA,NA,"TRUE",NA,"


Biodiversity Management Training
Ref:  4104Type:  Main ProjectProject Leader:  Dr Richard  GriffithsLead Institution:  Host Country Institutions:  WCS - TanzaniaStart Date:  1995-04-01End Date:  1998-12-31Funding:  &pound123,678.00Website:  Status:  CompletedRegions:  Sub-Saharan AfricaCountries:  Congo, Dem. Rep., Madagascar, TanzaniaPurpose:  Twelve trainees to undertake MSc Conservation course at DICEOutputs:  9 DI Fellows completed MSc in Conservation Biology at DICE; the follow-up year within host countries was partially achieved. All 9 DI Fellows are now working for conservation organisations in their home countries.Related Projects:  Aztecs and Axolotls: Integrating conservation and tourism at Xochimilco, Mexico, Chameleon trade and conservation in Madagascar, Implementing CITES in Madagascar, Chameleons, Conservation and Local Communities in Madagascar, Flying the flagship: delivering the axolotl action plan at Xochimilco, MexicoDocuments:  ECP, Final Report",NA,NA,"http://www.darwininitiative.org.uk/project/4104/","122","4104","123,678.00",TRUE
"652",NA,"1995-04-01 - ",NA,NA,NA,"Pan African Wildlife Clubs Generator ICCE",NA,NA,NA,NA,NA,"FALSE",NA,"",NA,NA,"http://www.darwininitiative.org.uk/project/4115/","123","4115","29,500.00",FALSE
"653",NA,"1995-04-01 - ",NA,NA,NA,"Marine Biodiversity and Resources Use Surveys in Northern Mozambique SEE - Society for Environmental Exploration/Frontier",NA,NA,NA,NA,NA,"FALSE",NA,"",NA,NA,"http://www.darwininitiative.org.uk/project/4151/","124","4151","151,843.00",FALSE
"654",NA,"1995-04-01 - ",NA,NA,NA,"Directory of Sites of Ornithological Importance in Tanzania RSPB",NA,NA,NA,NA,NA,"FALSE",NA,"",NA,NA,"http://www.darwininitiative.org.uk/project/4159/","125","4159","84,000.00",FALSE
"655",NA,"1995-04-01 - ",NA,NA,NA,"Implementation of the Biodiversity Convention in Sub-saharan Africa University of York",NA,NA,NA,NA,NA,"TRUE",NA,"


Implementation of the Biodiversity Convention in Sub-saharan Africa
Ref:  4186Type:  Main ProjectProject Leader:  Professor C  PerringsLead Institution:  University of YorkHost Country Institutions:  Start Date:  1995-04-01End Date:  Funding:  &pound90,600.00Website:  Status:  Completed_noFRRegions:  Sub-Saharan AfricaCountries:  Botswana, Ghana, Kenya, Malawi, NamibiaPurpose:  To strengthen capacity in the analysis of, and appropriate response to, biodiversity change in East, Central and Southern AfricaOutputs:  ",NA,NA,"http://www.darwininitiative.org.uk/project/4186/","126","4186","90,600.00",TRUE
"656",NA,"1995-05-01 - ",NA,NA,NA,"Biodiversity Research Training for African Park Staff Earthwatch Europe",NA,NA,NA,NA,NA,"FALSE",NA,"",NA,NA,"http://www.darwininitiative.org.uk/project/4200/","127","4200","137,181.00",FALSE
"657",NA,"1995-04-01 - ",NA,NA,NA,"Uganda Bryophyte Project British Bryological Society",NA,NA,NA,NA,NA,"FALSE",NA,"",NA,NA,"http://www.darwininitiative.org.uk/project/4213/","128","4213","44,698.00",FALSE
"658",NA,"1996-04-01 - ",NA,NA,NA,"Africa-Capacity Development Programme in Technology and Environmental Policy University of Strathclyde - GSES",NA,NA,NA,NA,NA,"FALSE",NA,"",NA,NA,"http://www.darwininitiative.org.uk/project/5036/","129","5036","94,500.00",FALSE
"659",NA,"1996-04-01 - 2000-06-30",NA,NA,NA,"Recovery of Serengeti Wildlife Research Institute CEH - Centre for Ecology and Hydrology, Wallingford",NA,NA,NA,NA,NA,"FALSE",NA,"",NA,NA,"http://www.darwininitiative.org.uk/project/5043/","130","5043","109,400.00",FALSE
"660",NA,"1996-04-01 - ",NA,NA,NA,"Training in Biodiversity Information Management, Africa UNEP/WCMC",NA,NA,NA,NA,NA,"FALSE",NA,"",NA,NA,"http://www.darwininitiative.org.uk/project/5075/","131","5075","121,600.00",FALSE
"661",NA,"1996-04-01 - ",NA,NA,NA,"Coastal Resources and Environmental Management Training in Eritrea Hunting Aquatic Resources Innovation Centre",NA,NA,NA,NA,NA,"FALSE",NA,"",NA,NA,"http://www.darwininitiative.org.uk/project/5077/","132","5077","106,460.00",FALSE
"662",NA,"1996-04-01 - 1999-03-31",NA,NA,NA,"Darwin Courses in Tropical Biology:  Training African and European Biologists TBA Tropical Biology Association",NA,NA,NA,NA,NA,"FALSE",NA,"",NA,NA,"http://www.darwininitiative.org.uk/project/5092/","133","5092","117,950.00",FALSE
"663",NA,"1996-05-01 - 1999-03-31",NA,NA,NA,"The Darwin Course in Plant Conservation Techniques for East Africa RBG Kew - SPG",NA,NA,NA,NA,NA,"FALSE",NA,"",NA,NA,"http://www.darwininitiative.org.uk/project/5112/","134","5112","169,560.00",FALSE
"664",NA,"1996-06-01 - 1999-05-31",NA,NA,NA,"Integrating Traditional Resource Management &amp; Conservation Strategies, Ethiopia ZSL - Zoological Society of London",NA,NA,NA,NA,NA,"FALSE",NA,"",NA,NA,"http://www.darwininitiative.org.uk/project/5132/","135","5132","120,000.00",FALSE
"665",NA,"1996-04-01 - 2000-03-31",NA,NA,NA,"Molluscan Biodiversity of East African Forests National Museums &amp; Galleries of Wales",NA,NA,NA,NA,NA,"FALSE",NA,"",NA,NA,"http://www.darwininitiative.org.uk/project/5137/","136","5137","115,365.00",FALSE
"666",NA,"1996-04-01 - 1999-03-31",NA,NA,NA,"An Invertebrate Survey of the Etosha National Park, Namibia Natural Resources Institute",NA,NA,NA,NA,NA,"FALSE",NA,"",NA,NA,"http://www.darwininitiative.org.uk/project/5147/","137","5147","102,432.00",FALSE
"667",NA,"1996-05-01 - 1998-12-31",NA,NA,NA,"Chameleons, Conservation and Local Communities in Madagascar ",NA,NA,NA,NA,NA,"FALSE",NA,"",NA,NA,"http://www.darwininitiative.org.uk/project/5174/","138","5174","84,958.00",FALSE
"668",NA,"1996-04-01 - ",NA,NA,NA,"Mobile Display for Pre-University Students University of Oxford Botanic Garden",NA,NA,NA,NA,NA,"TRUE",NA,"


Mobile Display for Pre-University Students
Ref:  5186Type:  Main ProjectProject Leader:  Mr Timothy  WalkerLead Institution:  University of Oxford Botanic GardenHost Country Institutions:  Start Date:  1996-04-01End Date:  Funding:  &pound38,801.00Website:  Status:  Completed_noFRRegions:  East Asia, International, Sub-Saharan AfricaCountries:  Cameroon, Indonesia, InternationalPurpose:  To design and distribute mobile displays and posters for pre-school students.Outputs:  ",NA,NA,"http://www.darwininitiative.org.uk/project/5186/","139","5186","38,801.00",TRUE
"669",NA,"1996-04-01 - ",NA,NA,NA,"Capacity Building Through the Wildlife Society of Zimbabwe Earthwatch Europe",NA,NA,NA,NA,NA,"FALSE",NA,"",NA,NA,"http://www.darwininitiative.org.uk/project/5187/","140","5187","53,856.00",FALSE
"670",NA,"1996-07-01 - 1998-06-30",NA,NA,NA,"Monitoring Biodiversity of a Dry Savannah Biome in Tanzania University of Oxford, WildCRU",NA,NA,NA,NA,NA,"FALSE",NA,"",NA,NA,"http://www.darwininitiative.org.uk/project/5193/","141","5193","94,984.00",FALSE
"671",NA,"1996-04-01 - ",NA,NA,NA,"Mauritius Ferns RBGE - Royal Botanic Garden, Edinburgh",NA,NA,NA,NA,NA,"FALSE",NA,"",NA,NA,"http://www.darwininitiative.org.uk/project/5199/","142","5199","55,024.00",FALSE
"672",NA,"1997-06-01 - 2000-07-31",NA,NA,NA,"Conservation of Endangered Plants and their Associated Fungi in Kenya International Mycological Institute",NA,NA,NA,NA,NA,"FALSE",NA,"",NA,NA,"http://www.darwininitiative.org.uk/project/6054/","143","6054","147,114.00",FALSE
"673",NA,"1997-08-01 - 2000-03-31",NA,NA,NA,"Plant Biodiversity Conservation and Sustainable Utilisation Training in West Africa University of Birmingham",NA,NA,NA,NA,NA,"TRUE",NA,"


Plant Biodiversity Conservation and Sustainable Utilisation Training in West Africa
Ref:  6100Type:  Main ProjectProject Leader:  Dr Nigel  MaxtedLead Institution:  University of BirminghamHost Country Institutions:  Min of Environment and Agriculture - Cote d'Ivoire, Min of Environment and Forests - MINEF - Cameroon, Min of Environment and Agriculture - BeninStart Date:  1997-08-01End Date:  2000-03-31Funding:  &pound148,200.00Website:  Status:  CompletedRegions:  Sub-Saharan AfricaCountries:  Benin, CameroonPurpose:  To provide 90 Darwin Fellows from West African countries with the skills and experience necessary for them to order, collect, conserve and utilise their native botanical diversity.Outputs:  30 trainees from West Africa trained for 3 weeks in each of the following - 1) taxonomy, ecogeography, conservation strategies, characterisation and evaluation, sustainable utilisation; 2) formulation and application of ex-situ conservation strategies, seed collection, field gene banks, botanic garden and in vitro conservation; 3) formulation and application of in situ conservation strategies, genetic reserve and on-farm conservation.  Training materialsRelated Projects:  Plant Conservation and Sustained Utilisation Training in Southern Africa, Plant Biodiversity Conservation in Eastern EuropeDocuments:  Final Report",NA,NA,"http://www.darwininitiative.org.uk/project/6100/","144","6100","148,200.00",TRUE
